"idx","Abramowitz and Stegun","Alan M. Frieze","Algorithm","Anthropology","Applied mathematics","Approximate inference","Artificial intelligence","Associated Press","Bayes factor","Bayes' theorem","Bayesian inference","Bayesian network","Biochemical Pharmacology","Biology","Bosnian War","C-reactive protein","Caenorhabditis elegans","Cell Transmission Model","Chartered Institute for Securities & Investment","Chemical transport model","Chemistry","China","Chinese restaurant process","Democratic People's Republic of Korea","Differential form","Digital terrestrial television","Dirichlet distribution","EP","Ecology","Economics","Electromagnetism","Emoticon","Empirical Bayes method","Engineering mathematics","Euclidean geometry","Evolution","Expectation propagation","Expectation–maximization algorithm","Foreach loop","Gamma function","Gaussian noise","Geology","Gibbs sampling","Gulf War","Hessian matrix","Hidden Markov model","Hierarchy","Hollywood","Holotype","Information retrieval","Institute of technology","Integrated circuit","Iowa","Iraq","Iraq War","JSTOR","Jordan","Kobe","Laplace's method","Latent Dirichlet allocation","Latent semantic analysis","Latent semantic indexing","Lemma","Linear discriminant analysis","Lyndon B. Johnson","Markov chain","Markov chain Monte Carlo","Mathematical proof","Mathematics","Matrix norm","Medicine","Memphis","Mixture model","Monte Carlo method","Morris","Newton's method","Normal distribution","Partition coefficient","People's Party","Perplexity","Physics","Pierre-Simon Laplace","Probabilistic latent semantic analysis","Proceedings of the National Academy of Sciences of the United States of America","Psychology","R","Random projection","Restaurant","Ricardo Baeza-Yates","Rwandan Genocide","Science","Semantics","Singular value decomposition","Social science","Statistical inference","Support vector machine","Taylor series","Text Retrieval Conference","Transmission electron microscopy","Ultraviolet","United States National Library of Medicine","Variational Bayesian methods","Visual Basic","Web search engine","Wisconsin","k·p perturbation theory"
"p_0",NA,50,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,20,NA,NA,NA,NA,NA,NA,NA,NA,55,5,NA,10,NA,NA,35,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,45,NA
"p_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,100,NA,NA,NA,NA,NA,0,65,NA,NA,NA,NA,5,125,NA,NA,NA,NA,NA,10,15,NA,20,NA,NA,70,NA,NA,NA,75,NA,NA,105,NA,NA,80,85,NA,NA,90,NA,NA,25,30,NA,NA,NA,NA,NA,NA,NA,35,110,NA,NA,NA,NA,NA,NA,NA,130,NA,NA,NA,40,NA,NA,115,NA,NA,NA,95,NA,45,50,NA,NA,NA,NA,NA,55,NA,120,NA,NA,NA,NA,NA
"p_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA
"p_3",120,NA,NA,NA,NA,NA,NA,85,NA,NA,65,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,75,NA,45,NA,NA,NA,NA,50,0,NA,NA,NA,95,NA,NA,NA,NA,NA,NA,5,NA,10,15,NA,20,NA,NA,NA,NA,25,NA,NA,NA,NA,55,NA,110,80,60,NA,NA,NA,NA,NA,115,30,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,35,125,NA,NA,NA,NA,NA,NA,105,NA,NA
"p_4",NA,NA,NA,10,95,NA,NA,NA,50,NA,NA,NA,55,15,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,60,NA,20,105,NA,NA,NA,110,NA,25,NA,NA,NA,NA,NA,30,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,75,80,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,5,115,NA,NA,85,40,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA
"p_5",NA,NA,NA,NA,NA,NA,NA,NA,0,5,50,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,35,55,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,60,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
"p_6",NA,NA,35,NA,NA,0,NA,NA,NA,NA,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,NA,15,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,60,NA,NA,NA,NA,50,80,NA,NA,NA
"p_7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,10,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,20,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
